Date,Open,Adj Close,High,Low,Body Size,Upper Shadow,O/C Low Area,O/C High Area,Ratio,O/C > Last Year,O/C < Next Year,Higher > Last Year?,High > Next Year,Likely Gravestone
45054,172.4799957,173.0266876,173.8500061,172.1100006,0.546691895,0.823318481,0.184997559,0.411659241,2.225214451,FALSE,FALSE,FALSE,TRUE,FALSE
45055,173.0500031,171.3014221,173.5399933,171.6000061,1.748580933,2.238571167,-1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
45056,173.0200043,173.0865326,174.0299988,171.8999939,0.06652832,0.943466187,0.560005188,0.471733093,0.84237272,FALSE,FALSE,TRUE,FALSE,FALSE
45057,173.8500061,173.2760162,174.5899963,172.1699982,0.573989868,1.313980103,0.553009033,0.369995117,0.669057999,TRUE,FALSE,TRUE,TRUE,FALSE
45058,173.6199951,172.3372803,174.0599976,171,1.282714844,1.722717285,0.668640137,0.220001221,0.329027841,FALSE,FALSE,FALSE,TRUE,FALSE
45061,173.1600037,171.8379669,173.2100067,171.4700012,1.322036743,1.372039795,0.183982849,0.025001526,0.135890525,FALSE,FALSE,FALSE,TRUE,FALSE
45062,171.9900055,171.8379669,173.1399994,171.8000031,0.152038574,1.302032471,0.018981934,0.574996948,30.29180064,FALSE,FALSE,FALSE,TRUE,FALSE
45063,171.7100067,172.4571228,172.9299927,170.4199982,0.747116089,0.472869873,0.645004272,0.236434937,0.366563365,FALSE,FALSE,FALSE,FALSE,FALSE
45064,173,174.8139343,175.2400055,172.5800018,1.813934326,0.426071167,0.209999084,0.213035583,1.014459582,TRUE,FALSE,TRUE,FALSE,FALSE
45065,176.3899994,174.9237976,176.3899994,174.9400024,1.466201782,1.466201782,-1,0,0,TRUE,TRUE,TRUE,TRUE,FALSE
45068,173.9799957,173.9650726,174.7100067,173.4499969,0.014923096,0.744934082,0.257537842,0.365005493,1.417288778,FALSE,TRUE,FALSE,TRUE,FALSE
45069,173.1300049,171.3286438,173.3800049,171.2799988,1.801361084,2.051361084,0.02432251,0.125,5.139272271,FALSE,FALSE,FALSE,TRUE,FALSE
45070,171.0899963,171.6082611,172.4199982,170.5200043,0.518264771,0.811737061,0.284996033,0.40586853,1.42411993,FALSE,FALSE,FALSE,FALSE,FALSE
45071,172.4100037,172.7567139,173.8999939,171.6900024,0.346710205,1.143280029,0.36000061,0.571640015,1.587886237,TRUE,FALSE,TRUE,FALSE,FALSE
45072,173.3200073,175.1934204,175.7700043,173.1100006,1.873413086,0.576583862,0.105003357,0.288291931,2.745549662,TRUE,FALSE,TRUE,FALSE,FALSE
45076,176.9600067,177.0608978,178.9900055,176.5700073,0.100891113,1.929107666,0.194999695,0.964553833,4.946437654,TRUE,FALSE,TRUE,FALSE,FALSE
45077,177.3300018,177.0109711,179.3500061,176.7599945,0.319030762,2.339035034,0.125488281,1.010002136,8.048577335,FALSE,FALSE,TRUE,FALSE,FALSE
45078,177.6999969,179.8471375,180.1199951,176.9299927,2.147140503,0.272857666,0.385002136,0.136428833,0.354358639,TRUE,FALSE,TRUE,FALSE,FALSE
45079,181.0299988,180.7059784,181.7799988,179.2599945,0.324020386,1.074020386,0.722991943,0.375,0.518677979,TRUE,FALSE,TRUE,FALSE,FALSE
45082,182.6300049,179.3378296,184.9499969,178.0399933,3.292175293,5.612167358,0.648918152,1.159996033,1.787584504,FALSE,FALSE,TRUE,TRUE,FALSE
45083,179.9700012,178.968338,180.1199951,177.4299927,1.001663208,1.151657104,0.769172668,0.074996948,0.097503397,FALSE,TRUE,FALSE,FALSE,FALSE
45084,178.4400024,177.5802002,181.2100067,177.3200073,0.859802246,3.629806519,0.130096436,1.385002136,10.64596528,FALSE,FALSE,TRUE,TRUE,FALSE
45085,177.8999939,180.3264923,180.8399963,177.4600067,2.426498413,0.513504028,0.219993591,0.256752014,1.167088608,FALSE,FALSE,FALSE,FALSE,FALSE
45086,181.5,180.7159729,182.2299957,180.6300049,0.7840271,1.514022827,0.042984009,0.364997864,8.491480298,TRUE,FALSE,TRUE,FALSE,FALSE
45089,181.2700043,183.5421448,183.8899994,180.9700012,2.272140503,0.347854614,0.150001526,0.173927307,1.159503586,FALSE,FALSE,TRUE,FALSE,FALSE
45090,182.8000031,183.0627899,184.1499939,182.4400024,0.262786865,1.087203979,0.180000305,0.54360199,3.020005934,FALSE,FALSE,TRUE,FALSE,FALSE
45091,183.3699951,183.7019348,184.3899994,182.0200043,0.331939697,0.688064575,0.674995422,0.344032288,0.50968092,TRUE,FALSE,TRUE,FALSE,FALSE
45092,183.9600067,185.7591553,186.5200043,183.7799988,1.79914856,0.760848999,0.090003967,0.3804245,4.226752564,TRUE,FALSE,TRUE,FALSE,FALSE
45093,186.7299957,184.6706238,186.9900055,184.2700043,2.059371948,2.319381714,0.200309753,0.130004883,0.649019234,FALSE,FALSE,TRUE,TRUE,FALSE
45097,184.4100037,184.760498,186.1000061,184.4100037,0.350494385,1.339508057,-1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
45098,184.8999939,183.7119293,185.4100037,182.5899963,1.188064575,1.698074341,0.560966492,0.255004883,0.45458131,FALSE,FALSE,FALSE,FALSE,FALSE
45099,183.7400055,186.747818,187.0500031,183.6699982,3.0078125,0.302185059,0.035003662,0.151092529,4.316477768,FALSE,FALSE,TRUE,FALSE,FALSE
45100,185.5500031,186.4282379,187.5599976,185.0099945,0.878234863,1.131759644,0.270004272,0.565879822,2.095818028,FALSE,FALSE,TRUE,FALSE,FALSE
45103,186.8300018,185.0201569,188.0500031,185.2299957,1.809844971,3.029846191,-1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
45104,185.8899994,187.8063812,188.3899994,185.6699982,1.916381836,0.583618164,0.11000061,0.291809082,2.652795117,FALSE,FALSE,TRUE,FALSE,FALSE
45105,187.9299927,188.9947815,189.8999939,187.6000061,1.064788818,0.905212402,0.164993286,0.452606201,2.743179506,TRUE,FALSE,TRUE,FALSE,FALSE
45106,189.0800018,189.3343201,190.0700073,188.9400024,0.254318237,0.735687256,0.069999695,0.367843628,5.25493188,TRUE,FALSE,TRUE,FALSE,FALSE
45107,191.6300049,193.7084198,194.4799957,191.2599945,2.078414917,0.771575928,0.185005188,0.385787964,2.085281867,TRUE,FALSE,TRUE,TRUE,FALSE
45110,193.7799988,192.20047,193.8800049,191.7599945,1.579528809,1.679534912,0.220237732,0.050003052,0.227041258,FALSE,TRUE,FALSE,TRUE,FALSE
45112,191.5700073,191.0719757,192.9799957,190.6199951,0.498031616,1.90802002,0.225990295,0.704994202,3.119577327,FALSE,FALSE,FALSE,TRUE,FALSE
45113,189.8399963,191.5513306,192.0200043,189.1999969,1.711334229,0.468673706,0.319999695,0.234336853,0.732303364,FALSE,FALSE,FALSE,FALSE,FALSE
45114,191.4100037,190.4228516,192.6699982,190.2400055,0.9871521,2.247146606,0.091423035,0.629997253,6.891012267,FALSE,TRUE,TRUE,TRUE,TRUE
45117,189.2599945,188.3556519,189.9900055,187.0399933,0.904342651,1.634353638,0.657829285,0.365005493,0.554863551,FALSE,FALSE,FALSE,TRUE,FALSE
45118,189.1600037,187.8263702,189.3000031,186.6000061,1.333633423,1.473632813,0.613182068,0.069999695,0.114158092,FALSE,FALSE,FALSE,FALSE,FALSE
45119,189.6799927,189.5140839,191.6999969,188.4700012,0.165908813,2.185913086,0.522041321,1.010002136,1.934716843,TRUE,FALSE,TRUE,TRUE,FALSE
45120,190.5,190.2830353,191.1900024,189.7799988,0.216964722,0.906967163,0.25151825,0.345001221,1.371674705,TRUE,FALSE,FALSE,TRUE,FALSE
45121,190.2299957,190.4328461,191.1799927,189.6300049,0.202850342,0.747146606,0.299995422,0.373573303,1.245263345,FALSE,TRUE,FALSE,TRUE,FALSE
